cell_line,drug_response,TP53,KRAS,EGFR,PTEN,MYC,CDKN1A,BRCA1,BRCA2,AKT1,PIK3CA,MDM2,CCND1,RB1,NF1,APC,PTCH1,VEGFA,CDK4,CDK6,ERBB2,MET
A549,0.82,12.5,8.7,5.4,20.1,14.9,7.8,6.2,5.9,7.1,6.8,5.2,8.3,9.1,4.7,5.8,6.3,10.2,7.5,6.9,8.4,6.1
HCT116,0.65,11.8,9.2,6.1,19.7,15.3,8.1,5.8,6.3,6.9,7.2,5.5,8.7,8.9,5.1,6.2,6.7,9.8,7.8,7.2,8.1,6.8
MCF7,0.43,13.2,7.8,4.9,21.3,14.2,7.5,6.5,5.7,7.3,6.5,4.9,7.9,9.3,4.5,5.7,6.1,10.5,7.2,6.7,8.7,5.4
PC3,0.71,18.3,15.2,9.8,25.6,22.4,11.5,7.1,6.8,8.2,8.9,6.7,10.1,10.7,6.3,7.5,7.9,12.3,9.1,8.5,10.2,7.6
HepG2,0.56,17.5,16.0,8.7,24.8,21.8,10.8,6.9,6.5,8.0,8.7,6.5,9.9,10.5,6.1,7.3,7.7,12.0,8.9,8.3,10.0,7.3
BT20,0.38,14.7,10.3,7.2,22.1,16.5,9.2,6.8,6.1,7.5,7.8,5.9,9.1,9.7,5.5,6.7,7.1,11.2,8.3,7.7,9.4,6.5
MDA-MB-231,0.72,19.1,14.7,10.2,26.2,23.1,12.1,7.3,7.0,8.5,9.2,6.9,10.5,11.0,6.6,7.8,8.2,12.8,9.4,8.8,10.6,7.9
SKBR3,0.61,16.8,13.5,9.1,23.9,20.7,10.2,6.7,6.3,7.9,8.4,6.2,9.7,10.2,5.9,7.1,7.5,11.7,8.7,8.1,9.9,7.1
T47D,0.47,15.2,11.7,7.9,22.8,17.8,9.7,6.9,6.2,7.7,8.1,6.0,9.4,9.9,5.7,6.9,7.3,11.5,8.5,7.9,9.7,6.7
OVCAR3,0.53,16.2,12.8,8.5,23.5,19.8,10.0,6.6,6.1,7.8,8.3,6.1,9.6,10.1,5.8,7.0,7.4,11.6,8.6,8.0,9.8,6.9
DU145,0.59,17.1,14.1,9.3,24.3,21.2,10.5,6.8,6.4,8.1,8.6,6.4,10.0,10.4,6.0,7.2,7.6,11.9,8.8,8.2,10.1,7.4
Hs578T,0.44,14.9,10.8,7.5,22.4,17.1,9.5,6.7,6.0,7.6,7.9,6.1,9.3,9.8,5.6,6.8,7.2,11.4,8.4,7.8,9.6,6.6
BT474,0.68,17.9,14.9,10.0,25.2,22.1,11.2,7.0,6.7,8.3,8.8,6.6,10.2,10.6,6.2,7.4,7.8,12.1,9.2,8.6,10.3,7.7
ZR-75-1,0.51,15.9,12.5,8.3,23.3,19.5,9.9,6.5,6.0,7.7,8.2,6.0,9.5,10.0,5.7,6.9,7.3,11.5,8.5,7.9,9.7,6.8
CAL51,0.63,17.4,14.6,9.7,25.0,21.6,10.9,6.9,6.5,8.2,8.7,6.5,10.1,10.5,6.1,7.3,7.7,12.0,9.0,8.4,10.2,7.5
SUM149,0.57,16.5,13.2,8.9,23.8,20.3,10.3,6.7,6.2,7.9,8.3,6.2,9.8,10.1,5.8,7.0,7.4,11.8,8.8,8.2,10.0,7.2
SUM159,0.49,15.5,11.9,8.0,22.9,18.2,9.8,6.8,6.1,7.7,8.0,6.0,9.5,9.8,5.6,6.8,7.2,11.6,8.6,8.0,9.8,6.9
HCC1937,0.41,14.5,10.5,7.3,22.0,16.8,9.3,6.6,5.9,7.4,7.7,5.8,9.2,9.6,5.4,6.6,7.0,11.3,8.2,7.6,9.5,6.4
HCC70,0.45,15.0,11.0,7.6,22.5,17.3,9.6,6.7,6.0,7.6,8.0,6.1,9.4,9.9,5.6,6.8,7.2,11.5,8.5,7.9,9.7,6.7
HCC1806,0.52,16.0,12.6,8.4,23.4,19.6,10.0,6.6,6.1,7.8,8.2,6.1,9.6,10.0,5.7,7.0,7.4,11.6,8.6,8.0,9.8,6.9
